DATE,Fed Funds Rate
1/1/1970,7.76
4/1/1970,7.61
7/1/1970,6.29
10/1/1970,4.9
1/1/1971,3.71
4/1/1971,4.91
7/1/1971,5.55
10/1/1971,4.14
1/1/1972,3.83
4/1/1972,4.46
7/1/1972,4.87
10/1/1972,5.33
1/1/1973,7.09
4/1/1973,8.49
7/1/1973,10.78
10/1/1973,9.95
1/1/1974,9.35
4/1/1974,11.93
7/1/1974,11.34
10/1/1974,8.53
1/1/1975,5.54
4/1/1975,5.55
7/1/1975,6.24
10/1/1975,5.2
1/1/1976,4.84
4/1/1976,5.48
7/1/1976,5.25
10/1/1976,4.65
1/1/1977,4.69
4/1/1977,5.39
7/1/1977,6.14
10/1/1977,6.56
1/1/1978,6.79
4/1/1978,7.6
7/1/1978,8.45
10/1/1978,10.03
1/1/1979,10.09
4/1/1979,10.29
7/1/1979,11.43
10/1/1979,13.78
1/1/1980,17.19
4/1/1980,9.47
7/1/1980,10.87
10/1/1980,18.9
1/1/1981,14.7
4/1/1981,19.1
7/1/1981,15.87
10/1/1981,12.37
1/1/1982,14.68
4/1/1982,14.15
7/1/1982,10.31
10/1/1982,8.95
1/1/1983,8.77
4/1/1983,8.98
7/1/1983,9.45
10/1/1983,9.47
1/1/1984,9.91
4/1/1984,11.06
7/1/1984,11.3
10/1/1984,8.38
1/1/1985,8.58
4/1/1985,7.53
7/1/1985,7.92
10/1/1985,8.27
1/1/1986,7.48
4/1/1986,6.92
7/1/1986,5.89
10/1/1986,6.91
1/1/1987,6.13
4/1/1987,6.73
7/1/1987,7.22
10/1/1987,6.77
1/1/1988,6.58
4/1/1988,7.51
7/1/1988,8.19
10/1/1988,8.76
1/1/1989,9.85
4/1/1989,9.53
7/1/1989,9.02
10/1/1989,8.45
1/1/1990,8.28
4/1/1990,8.29
7/1/1990,8.2
10/1/1990,7.31
1/1/1991,6.12
4/1/1991,5.9
7/1/1991,5.45
10/1/1991,4.43
1/1/1992,3.98
4/1/1992,3.76
7/1/1992,3.22
10/1/1992,2.92
1/1/1993,3.07
4/1/1993,3.04
7/1/1993,3.09
10/1/1993,2.96
1/1/1994,3.34
4/1/1994,4.25
7/1/1994,4.73
10/1/1994,5.45
1/1/1995,5.98
4/1/1995,6
7/1/1995,5.8
10/1/1995,5.6
1/1/1996,5.31
4/1/1996,5.27
7/1/1996,5.3
10/1/1996,5.29
1/1/1997,5.39
4/1/1997,5.56
7/1/1997,5.54
10/1/1997,5.5
1/1/1998,5.49
4/1/1998,5.56
7/1/1998,5.51
10/1/1998,4.68
1/1/1999,4.81
4/1/1999,4.76
7/1/1999,5.22
10/1/1999,5.3
1/1/2000,5.85
4/1/2000,6.53
7/1/2000,6.52
10/1/2000,6.4
1/1/2001,5.31
4/1/2001,3.97
7/1/2001,3.07
10/1/2001,1.82
1/1/2002,1.73
4/1/2002,1.75
7/1/2002,1.75
10/1/2002,1.24
1/1/2003,1.25
4/1/2003,1.22
7/1/2003,1.01
10/1/2003,0.98
1/1/2004,1
4/1/2004,1.03
7/1/2004,1.61
10/1/2004,2.16
1/1/2005,2.63
4/1/2005,3.04
7/1/2005,3.62
10/1/2005,4.16
1/1/2006,4.59
4/1/2006,4.99
7/1/2006,5.25
10/1/2006,5.24
1/1/2007,5.26
4/1/2007,5.25
7/1/2007,4.94
10/1/2007,4.24
1/1/2008,2.61
4/1/2008,2
7/1/2008,1.81
10/1/2008,0.16
1/1/2009,0.18
4/1/2009,0.21
7/1/2009,0.15
10/1/2009,0.12
1/1/2010,0.16
4/1/2010,0.18
7/1/2010,0.19
10/1/2010,0.18
1/1/2011,0.14
4/1/2011,0.09
7/1/2011,0.08
10/1/2011,0.07
1/1/2012,0.13
4/1/2012,0.16
7/1/2012,0.14
10/1/2012,0.16
1/1/2013,0.14
4/1/2013,0.09
7/1/2013,0.08
10/1/2013,0.09
1/1/2014,0.08
4/1/2014,0.1
7/1/2014,0.09
10/1/2014,0.12
1/1/2015,0.11
4/1/2015,0.13
7/1/2015,0.14
10/1/2015,0.24
1/1/2016,0.36
4/1/2016,0.38
7/1/2016,0.4
10/1/2016,0.54
1/1/2017,0.79
4/1/2017,1.04
7/1/2017,1.15
10/1/2017,1.3
1/1/2018,1.51
4/1/2018,1.82
7/1/2018,1.95
10/1/2018,2.27
1/1/2019,2.41
4/1/2019,2.38
7/1/2019,2.04
10/1/2019,1.55
1/1/2020,0.65
4/1/2020,0.08
7/1/2020,0.09
10/1/2020,0.09
1/1/2021,0.07
4/1/2021,0.08
7/1/2021,0.08
10/1/2021,0.08
1/1/2022,0.2
4/1/2022,1.21
7/1/2022,2.56
10/1/2022,4.1
1/1/2023,4.65
4/1/2023,5.08
7/1/2023,5.33
10/1/2023,5.33
1/1/2024,5.33
4/1/2024,5.33
7/1/2024,5.13
