DATE,Used Car Prices
1/1/1970,50.08375
4/1/1970,53.26633
7/1/1970,52.0938
10/1/1970,55.10888
1/1/1971,55.61139
4/1/1971,55.9464
7/1/1971,54.94137
10/1/1971,53.93635
1/1/1972,54.43886
4/1/1972,54.94137
7/1/1972,55.61139
10/1/1972,57.78894
1/1/1973,59.9665
4/1/1973,59.9665
7/1/1973,58.45896
10/1/1973,56.78392
1/1/1974,53.93635
4/1/1974,59.79899
7/1/1974,65.82915
10/1/1974,70.35176
1/1/1975,71.69179
4/1/1975,71.8593
7/1/1975,75.54439
10/1/1975,76.71692
1/1/1976,79.22948
4/1/1976,84.42211
7/1/1976,87.60469
10/1/1976,91.28978
1/1/1977,95.47739
4/1/1977,93.46734
7/1/1977,89.44724
10/1/1977,87.43719
1/1/1978,88.94472
4/1/1978,92.96482
7/1/1978,96.98492
10/1/1978,98.99497
1/1/1979,100.33501
4/1/1979,105.19263
7/1/1979,100.67002
10/1/1979,98.15745
1/1/1980,100
4/1/1980,101.00503
7/1/1980,106.70017
10/1/1980,115.74539
1/1/1981,120.60302
4/1/1981,126.63317
7/1/1981,135.51089
10/1/1981,140.0335
1/1/1982,143.71859
4/1/1982,149.74874
7/1/1982,151.75879
10/1/1982,155.44389
1/1/1983,158.29146
4/1/1983,161.80905
7/1/1983,171.02178
10/1/1983,178.39196
1/1/1984,182.74707
4/1/1984,190.61977
7/1/1984,192.29481
10/1/1984,192.46231
1/1/1985,195.47739
4/1/1985,190.11725
7/1/1985,187.26968
10/1/1985,188.60972
1/1/1986,185.59464
4/1/1986,181.07203
7/1/1986,179.8995
10/1/1986,179.06198
1/1/1987,183.41709
4/1/1987,191.12228
7/1/1987,193.80235
10/1/1987,194.97487
1/1/1988,195.8124
4/1/1988,196.98492
7/1/1988,199.16248
10/1/1988,200.50251
1/1/1989,205.52764
4/1/1989,202.51256
7/1/1989,198.65997
10/1/1989,199.66499
1/1/1990,198.49246
4/1/1990,196.48241
7/1/1990,196.31491
10/1/1990,194.80737
1/1/1991,195.64489
4/1/1991,198.32496
7/1/1991,198.32496
10/1/1991,199.49749
1/1/1992,198.65997
4/1/1992,205.19263
7/1/1992,211.39028
10/1/1992,214.40536
1/1/1993,212.0603
4/1/1993,224.95812
7/1/1993,232.32831
10/1/1993,233.33333
1/1/1994,223.78559
4/1/1994,236.0134
7/1/1994,243.55109
10/1/1994,253.76884
1/1/1995,259.29648
4/1/1995,265.15913
7/1/1995,262.14405
10/1/1995,264.99162
1/1/1996,266.49916
4/1/1996,262.47906
7/1/1996,262.64657
10/1/1996,259.46399
1/1/1997,259.63149
4/1/1997,253.93635
7/1/1997,248.24121
10/1/1997,246.90117
1/1/1998,248.57621
4/1/1998,252.59631
7/1/1998,253.93635
10/1/1998,255.27638
1/1/1999,246.90117
4/1/1999,252.76382
7/1/1999,260.80402
10/1/1999,259.63149
1/1/2000,256.28141
4/1/2000,260.80402
7/1/2000,261.64154
10/1/2000,268.34171
1/1/2001,267.8392
4/1/2001,266.16415
7/1/2001,263.48409
10/1/2001,263.31658
1/1/2002,254.77387
4/1/2002,254.94137
7/1/2002,254.94137
10/1/2002,248.74372
1/1/2003,248.74372
4/1/2003,246.90117
7/1/2003,232.83082
10/1/2003,219.43049
1/1/2004,220.77052
4/1/2004,217.58794
7/1/2004,226.96817
10/1/2004,231.8258
1/1/2005,231.65829
4/1/2005,233.33333
7/1/2005,235.00838
10/1/2005,234.84087
1/1/2006,235.8459
4/1/2006,236.1809
7/1/2006,234.33836
10/1/2006,229.81575
1/1/2007,226.46734
4/1/2007,225.41039
7/1/2007,227.84255
10/1/2007,230.9129
1/1/2008,232.06198
4/1/2008,226.16415
7/1/2008,219.72529
10/1/2008,213.27136
1/1/2009,204.70687
4/1/2009,206.42546
7/1/2009,213.78727
10/1/2009,233.46064
1/1/2010,238.48744
4/1/2010,237.77387
7/1/2010,241.25963
10/1/2010,244.00168
1/1/2011,243.96315
4/1/2011,248.77387
7/1/2011,254.06533
10/1/2011,254.74539
1/1/2012,250.02513
4/1/2012,255.0469
7/1/2012,250.66499
10/1/2012,249.98827
1/1/2013,249.43384
4/1/2013,249.14908
7/1/2013,252.02345
10/1/2013,255.37186
1/1/2014,250.65494
4/1/2014,249.44891
7/1/2014,251.0201
10/1/2014,244.27136
1/1/2015,247.39363
4/1/2015,250.38526
7/1/2015,247.15913
10/1/2015,241.13065
1/1/2016,240.63484
4/1/2016,242.69179
7/1/2016,242.63149
10/1/2016,233.59631
1/1/2017,233.21943
4/1/2017,230.63819
7/1/2017,226.18593
10/1/2017,231.36181
1/1/2018,231.51089
4/1/2018,231.07538
7/1/2018,229.34673
10/1/2018,234.80737
1/1/2019,236.54606
4/1/2019,231.55946
7/1/2019,232.31826
10/1/2019,234.65327
1/1/2020,237.29816
4/1/2020,224.71692
7/1/2020,256.22781
10/1/2020,258.31826
1/1/2021,259.51424
4/1/2021,326.37521
7/1/2021,318.77387
10/1/2021,354.65327
1/1/2022,351.16583
4/1/2022,349.55946
7/1/2022,341.60804
10/1/2022,323.29648
1/1/2023,312.59464
4/1/2023,330.98995
7/1/2023,314.32161
10/1/2023,319.21273
1/1/2024,306.60302
4/1/2024,299.54941
7/1/2024,290.73032
